N;F;R;L;Q
68;10;19,6;1,1;3,52
73;10;21,3;1,28;3,79
90;10;26,1;1,88;4,52
120;10;35,1;3,36;6,01
68;28,5;19,9;1,11;10,01
73;28,5;21,5;1,29;10,7
90;28,5;27,2;1,91;12,5
120;28,5;36,6;3,4;16,67
68;40;20,6;1,12;13,71
73;40;22;1,3;14,8
90;40;28,9;1,93;16,8
120;40;39,2;3,45;22,11
68;50;21,5;1,13;16,5
73;50;22,8;1,31;18,04
90;50;31,3;1,97;19,7
120;50;42,5;3,51;25,92
68;66,6;23,9;1,16;20,3
73;66,6;24,8;1,33;22,4
90;66,6;37,8;2,04;22,6
120;66,6;50,6;3,63;30,04
68;100;34,1;1,25;23,03
73;100;32,5;1,39;27,02
90;100;66,6;2,28;21,5
120;100;83,2;4,05;30,52
